Session,Book,Index,Item,Attribution,Mei,Attachment,
19,1,204,Wakizashi,Kanemitsu (1353),備州長船兼光 /文和二年二月日,,
19,1,205,Katana,Motomitsu,Mumei [基光],,
19,1,206,Tachi,Masamitsu,備州長船政光,,
19,1,207,Katana,Masamitsu,Mumei [政光],,
19,1,208,Katana,Masamitsu,Mumei [政光],,
19,1,209,Tachi,Yoshikage,備州長船義景,,
19,1,210,Katana,den Yoshikage,Mumei [伝義景],Uchigatana Koshirae – 黒塗刻鞘打刀拵,
19,1,211,Katana,den Chōgi,Mumei [伝長義],,
19,1,212,Katana,Chōgi,Mumei [長義],,
19,1,213,Katana,den Kanenaga,Mumei [伝兼長],,
19,1,214,Katana,den Kanenaga,Mumei [伝兼長],,
19,1,215,Tantō,Kanenaga (1388),備州長船住兼長 / 嘉慶二年十一月日,,
19,1,216,Katana,Motoshige,Mumei [元重],,
19,1,217,Katana,Motoshige,Mumei [元重] [Kiritsuke 景音討取林元勝重代 / 永正十八年六月十三日 越前 朝倉貞景末子],,
19,1,218,Katana,den Motoshige,Mumei [伝元重] [Kinzōgan 二ツ胴落],,
19,1,219,Naoshi,den Motoshige,Mumei [伝元重],,
19,1,220,Naoshi,den Motoshige (1349),Orikaeshi 貞和五 (Cut off) [伝元重],,
19,1,221,Katana,den Shigezane,Mumei [伝重真],,
19,1,222,Tachi,Ōmiya Morikage,備州長船住盛景,,
19,1,223,Katana,den Ōmiya Morishige,Mumei [伝大宮盛重],,
19,1,224,Tachi,Ōmiya,Mumei [大宮],,
19,1,225,Tachi,Ōmiya Morokage (1416),備州長船師景 / 応永廿三年十月日,Tachi Koshirae – 角切角葵紋糸巻太刀拵,
19,1,226,Tachi,Moromitsu (1381),備州長船師光 / 永徳元年八月日,,
19,1,227,Tachi,Moromitsu (1394),備州長船師光 / 応永元年十月日,,
19,1,228,Tachi,Yasumitsu (1443),備州長船康光 / 嘉吉三年二月日,,
19,1,229,Tachi,Yasumitsu,備州長船康光,,
19,1,230,Wakizashi,Yasumitsu,康光,,
19,1,231,Wakizashi,Yasumitsu (1410),備州長船康光 / 応永十七年七月日,,
19,1,232,Wakizashi,Yasumitsu (1415),備州長船康光 / 応永廿二年三月日,,
19,1,233,Katana,Yosōzaemon Sukesada (1540),備前国住長船与三左衛門尉祐定 / 天文九年二月吉日,,
19,1,234,Katana,Sukesada (1547),備前国住長船祐定作 / 為津田石見入道一閑作之 / 南無阿弥陀仏 /天文 十六年八月吉日,,
19,1,235,Tantō,Yosōzaemon Sukesada (1531),備前国住長船与三左衛門尉祐定 / 享禄二二年二月吉日,,
19,1,236,Katana,Magoemon Kiyomitsu (1564),備前国長船孫右衛門尉清光作 / 永禄七年八月吉日,,
19,1,237,Tachi,Kagenori,景則,,
19,1,238,Tachi,Suenori,末則,,
19,1,239,Wakizashi,Noritsuna (1364),備前国吉井則綱 / 貞治三年十二月日,,
19,1,240,Katana,Ko–Yoshii,Mumei [古吉井],,
19,1,241,Naoshi,Ko–Yoshii,Mumei [古吉井],,
19,1,242,Katana,Yoshii,Mumei [吉井],,
19,1,243,Katana,den Ko–Aoe Masatsune,Mumei [伝古青江正恒],,
19,1,244,Tachi,Tsunetsugu,恒次 [Kinzōgan 御拝領],,
19,1,245,Tachi,Suketsugu,助次,,
19,1,246,Tachi,Suketsugu,助次,,
19,1,247,Tachi,Ko–Aoe,Fumei [古青江],,
19,1,248,Katana,Ko–Aoe,Mumei [古青江],,
19,1,249,Katana,Aoe,Mumei [青江],,
19,1,250,Naoshi,Tsuguyoshi (1389–1390),備中国住次吉作 康応 (Cut off),,
19,1,251,Wakizashi,Tsuguyoshi,備中国住次吉作,,
19,1,252,Tantō,Naotsugu (1329),備中州住左兵衛尉直次 / 元徳元年十二月日,,
19,1,253,Tachi,Nagatsugu (1401),備中国住長次作 / 応永八年十月日,,
19,1,254,Katana,Tatsubō Kunishige (1592),備中国英賀郡呰部住大月左兵衛尉国重作 / 天正廿年八月吉日,,
19,1,255,Katana,Mihara Masaie,[Kinpun 三原正家 / 本阿 (花押) 光遜],,
19,1,256,Katana,Ko–Mihara,Mumei [古三原],,
19,1,257,Katana,Ko–Mihara,Mumei [古三原],,
19,1,258,Tachi,Ko–Mihara,Mumei [古三原],,
19,1,259,Wakizashi,Kaneyasu (1369),備州住兼安 / 応安二年五月日,,
19,1,260,Katana,Kokubunji Sukekuni,Mumei [国分寺助国],,
19,1,261,Tachi,Niō,Mumei [二王],,
19,1,262,Katana,Niō,Mumei [二王],,
19,1,263,Katana,Niō,Mumei [二王],,
19,1,264,Tantō,Niō Morikiyo,二王守清作,,
19,1,265,Katana,Yukiaki,Mumei [行観],,
19,1,266,Naoshi,Hōjōji,Mumei [法城寺],,
19,1,267,Naoshi,Tanshū Kunimitsu,Mumei [但州国光],,
19,1,268,Naoshi,Hōjōji,Mumei [法城寺],,
19,1,269,Tachi,Inaba Kagenaga,Mumei [因州景長],,
19,1,270,Katana,den Sekishū Naotsuna,Mumei [伝石州直綱],,
19,1,271,Katana,den Sekishū Naotsuna,Mumei [伝直綱],,
19,1,272,Naoshi,den Sekishū Naotsuna,Mumei [伝直綱],,
19,1,273,Katana,Sairen,Mumei [西蓮],,
19,1,274,Katana,den Sairen,Mumei [伝西蓮],,
19,1,275,Katana,Sa,Mumei [左],,
19,1,276,Katana,den Sa,Mumei [伝左] – 寛文五年光温折紙),Hon’ami Origami (1665,
19,1,277,Tantō,Sa Yasuyoshi,安吉,,
19,1,278,Tachi,Sa Yoshisada,Mei ga aru 吉貞,Tachi Koshirae – 金梨子地丸に十字紋蒔絵糸巻 太刀拵,
19,1,279,Katana,Sa Yoshisada,Mumei [吉貞],,
19,1,280,Tantō,Sa Yoshisada,吉貞,,
19,1,281,Wakizashi,Sa Kunihiro,国弘作,,
19,1,282,Naoshi,den Sa Kunihiro,Mumei [伝左国弘] [Shusho あさぎり],,
19,1,283,Katana,den Sa Hiroyuki,Mumei [伝左弘行],,
19,1,284,Katana,Sa Hiroyasu,Mumei [左弘安],,
19,1,285,Naoshi,den Sa Hiroyasu,Mumei [伝左弘安],,
19,1,286,Tantō,Sadaaki,筑州住貞秋,,
19,1,287,Tachi,Sanenaga,実永,,
19,1,288,Katana,Reisen Sadamori,Mumei [冷泉貞盛],,
19,1,289,Tachi,Bungo Yukihira,豊後国行平作,,
19,1,290,Katana,Bungo Tomoyuki,Mumei [高田友行],,
19,1,291,Katana,den Enju,Mumei [伝延寿],,
19,1,292,Katana,den Enju,Mumei [伝延寿],,
19,1,293,Katana,Enju,Mumei [延寿],,
19,1,294,Katana,den Enju,Mumei [伝延寿],Uchigatana Koshirae – 黒蠟塗丸二桐蝶紋蒔絵打 刀拵,
19,1,295,Tachi,Ko–Naminohira,Mumei [古波平],,
19,1,296,Tantō,Naminohira Yasutsugu,波平安次作,,
19,2,1,Wakizashi,Horikawa Kunihiro,日州古屋住国広 (花押) / 服部元氏刀,,
19,2,2,Katana,Horikawa Kunihiro,国広,,
19,2,3,Katana,Horikawa Kunihiro,国広,,
19,2,4,Tantō,Horikawa Kunihiro,国広,,
19,2,5,Tantō,Horikawa Kunihiro,藤原国広,,
19,2,6,Katana,Hirozane,藤原広実,,
19,2,7,Katana,Kunimasa,国正,,
19,2,8,Katana,Hiroyuki,山城国堀川住清水丹後守藤原弘幸 / 未世之為釼三州之住鈴木与八郎重政 / 好之 物骨切留事知,,
19,2,9,Tantō,Hiroyuki,平安城藤原弘幸,,
19,2,10,Katana,Kunitomo,越後守藤原国儔,,
19,2,11,Katana,Horikawa Kunimori,洛陽堀川住藤原国盛,,
19,2,12,Katana,Kunimichi,出羽大掾藤原国路,,
19,2,13,Katana,Kunimichi,出羽大掾藤原国路,,
19,2,14,Wakizashi,Kunimichi,出羽大掾藤原国路,,
19,2,15,Wakizashi,Kunimichi,出羽大掾藤原国路,,
19,2,16,Katana,Iga no Kami Kinmichi,伊賀守金道,,
19,2,17,Katana,Iga no Kami Kinmichi,伊賀守金道,,
19,2,18,Katana,Tanba no Kami Yoshimichi,丹波守吉道,,
19,2,19,Wakizashi,Masatoshi,正俊,,
19,2,20,Katana,Oya Kunisada,和泉守国貞 [Kirtsuke ga aru 信],,
19,2,21,Katana,Oya Kunisada (1649),和泉守藤原国貞 / 慶安二年八月日,,
19,2,22,Wakizashi,Shinkai Kunisada (1670),井上和泉守国貞 / (菊紋) 寛文十年二月日,,
19,2,23,Katana,Inoue Shinkai (1675),井上真改 / (菊紋) 延宝三年八月日,,
19,2,24,Katana,Kaga no Kami Sadanori (1679),鈴木加賀守貞則 / 延宝七年二月日,,
19,2,25,Katana,Kawachi no Kami Kunisuke,河内守藤原国助,,
19,2,26,Katana,Soboro Sukehiro,摂州住藤原助広,,
19,2,27,Katana,Tsuda Sukenao,近江守高木住助直作之,,
19,2,28,Katana,Tsuda Sukenao (1692),津田近江守助直 / 元禄五歳八月日,,
19,2,29,Katana,Echigo no Kami Kanesada,越後守包貞,,
19,2,30,Katana,Echigo no Kami Kanesada (1676),越後守包貞 / 延宝四丙辰八月吉日,,
19,2,31,Katana,Echigo no Kami Kanesada,越後守包貞,,
19,2,32,Katana,Echigo no Kami Kanesada,越後守包貞,,
19,2,33,Katana,Terukane (1680),坂倉言之進照包 / 延宝八年二月吉日,,
19,2,34,Wakizashi,Ikkanshi Tadatsuna (1699),一竿子忠綱 彫同作/ 元禄十二年二月日,,
19,2,35,Wakizashi,Ikkanshi Tadatsuna (1700),一竿子忠綱 彫同作/ 元禄十三年八月日,,
19,2,36,Katana,Kijū (1731),筒井越中守入道藤原紀充 / 享保十六春於和州郡山造之,,
19,2,37,Katana,Echizen Yasutsugu (Shodai),以南蛮鉄於武州江戸 越前康継 (初代),,
19,2,38,Wakizashi,Echizen Yasutsugu (Nidai),(葵紋) 以南蛮鉄於武州江戸 / 越前康継 (二代),,
19,2,39,Naginata,Hankei,繁慶,,
19,2,40,Katana,Kotetsu,長曽祢虎徹入道興里 [Kinzōgan 寛文二年十二月廿一日 / 山野加右衛門永久 (花 押) / 弐ツ胴截断],,
19,2,41,Katana,Kotetsu,長曽祢興里入道乕徹,Tachi Koshirae – 杢目肌塗略太刀拵,
19,2,42,Katana,Kotetsu,長曽祢興里入道乕徹,,
19,2,43,Wakizashi,Kotetsu (1658),長曽祢興里作 /明暦四年八月日 / 寺尾氏持,,
19,2,44,Wakizashi,Kotetsu,同作彫之 長曽祢虎徹入道興里,Wakizashi Koshirae – 変り塗脇指 拵,
19,2,45,Wakizashi,Kotetsu,長曽祢興里入道乕徹 [Kinzōgan 延宝二年十一月六日 / 山野勘十郎久英 (花押) / 弐ツ胴截断],,
19,2,46,Katana,Okimasa,長曽祢興正 [Kinzōgan 延宝二年八月廿九日 / 山野勘十郎久英 (花押) / 弐ツ胴截 断],,
19,2,47,Katana,Kaneshige,上総介藤原兼重,,
19,2,48,Katana,Tachibana Masahiro,近江守法城寺橘正弘,,
19,2,49,Katana,Ōmura Kaboku,越後幕下士大村加卜慰作之 / 真十五枚甲伏造,,
19,2,50,Katana,Ōmura Kaboku,越後幕下士大村加卜慰作之 / 真十五枚甲伏造,,
19,2,51,Katana,Taikei Naotane (1822),文政五年仲春 / 荘司筑前大掾直胤 (花押),,
19,2,52,Daishō,Taikei Naotane (1828),Dai – 荘司筑前大掾大慶藤直胤 (花押) / 文政十一年仲春 Sho – 荘司 筑前大慶藤直胤 (花押) / 時二文政十一年五拾才作之,,
19,2,53,Katana,Koyama Munetsugu (1841),応需固山宗兵衛宗次造之 / 天保十二年十一月日,,
19,2,54,Katana,Unju Korekazu (1863),石堂藤原是一精鍛 / 文久三年八月日,,
19,2,55,Katana,Unju Korekazu (1864),藤原是一作 / 元治元年八月日,,
19,2,56,Katana,Kiyomaro,源清麿,,
19,2,57,Wakizashi,Kiyomaro (1850),源清麿 / 嘉永三年八月日,,
19,2,58,Tantō,Kiyomaro (1847),源清麿 / 弘化丁未年八月日,,
19,2,59,Katana,Sa Yukihide (1852),左行秀 / 嘉永五年二月日,,
19,2,60,Wakizashi,Nobutaka,伯耆守藤原信高,,
19,2,61,Katana,Ichige Norichika (1821),水戸市毛源左衛門 徳鄰 / 文政四年已八月吉日,,
19,2,62,Katana,Naoe Sukemasa (1814),水戸住直江助政 / 文化十一年八月日,,
19,2,63,Katana,Sendai Kunikane (Shodai),山城守藤原国包 (初代),,
19,2,64,Katana,Sendai Kunikane (Shodai),山城守藤原国包 (初代),,
19,2,65,Katana,Sendai Kunikane (Nidai),奥州仙台住国包 (二代),,
19,2,66,Katana,Sendai Kunikane (Nidai),山城守藤原国包 (二代),,
19,2,67,Katana,Shimosaka,越前国下坂,,
19,2,68,Wakizashi,Sadakuni,肥後大掾貞国,,
19,2,69,Katana,Kunikiyo,(菊紋) 山城守藤原国清 / 鍛南蛮鉄釼之 [Kinzōgan 寛文四年九月晦日 / 弐ツ胴截 断山野加右衛門永久 (花押)],,
19,2,70,Wakizashi,Kunikiyo,鍛南蛮鉄釼之 / (菊紋) 山城守藤原国清,,
19,2,71,Wakizashi,Kunitsugu (1656),山城大掾藤原国次 / 明暦弐年八月吉日,,
19,2,72,Naginata,Teruhiro,肥後守藤原輝広,,
19,2,73,Naginata,Teruhiro,肥後守藤原輝広,,
19,2,74,Katana,Teruhiro,播磨守藤原輝広,,
19,2,75,Wakizashi,Nanki Shigekuni (1622),大和州住人九郎三郎重国居 / 駿河州後於紀伊州明光山作之 / 羽掃 為都筑久太夫氏勝作之 / 元和八年戍八月吉日 / (棟に) 鏨物天下一池田権助義照,,
19,2,76,Tantō,Nanki Shigekuni,重国,,
19,2,77,Katana,Hizen Tadahiro (1625),肥前国住武蔵大掾藤原忠広 / 寛永二年八月吉日,,
19,2,78,Wakizashi,Hizen Tadahiro,武蔵大掾藤原忠広 / 此忠広埋忠明寿弟子,,
19,2,79,Katana,Hizen Tadahiro,肥前国住近江大掾藤原忠広,,
19,2,80,Katana,Hizen Tadahiro,肥前国住近江大掾藤原忠広,,
19,2,81,Katana,Hizen Tadahiro,肥前国住近江大掾藤原忠広,,
19,2,82,Katana,Hizen Tadahiro,肥前国住近江大掾藤原忠広,,
19,2,83,Katana,Hizen Tadahiro,肥前国住近江大掾藤原忠広,,
19,2,84,Katana,Hizen Tadahiro & Tadayoshi,肥前国住近江大掾藤原忠広 / 同国住人陸奥守忠吉,,
19,2,85,Katana,Hizen Tadahiro & Tadayoshi,肥前国住近江大掾藤原忠広 / 同国住人陸奥守忠吉,,
19,2,86,Katana,Hizen Tadayoshi (Mutsu),肥前国住陸奥守忠吉,,
19,2,87,Katana,Hizen Tadayoshi (Mutsu),肥前国住陸奥守忠吉,,
19,2,88,Katana,Hizen Tadayoshi (Mutsu),肥前国住陸奥守忠吉,,
19,2,89,Naginata,Hizen Tadayoshi (Mutsu),肥前国住陸奥守忠吉,,
19,2,90,Katana,Hizen Tosa Tadayoshi,肥前国住人土佐守藤原忠吉,,
19,2,91,Katana,Hizen Masahiro,肥前国河内守藤原正広,,
19,2,92,Katana,Hizen Yoshifusa,肥前国佐賀住藤原吉房作,,
19,2,93,Katana,Hizen Hirosada (1639),肥前国住相右衛門源広貞 / 寛永十六年二月吉日,,
19,2,94,Katana,Hizen Munetsugu,肥前国住人伊予掾源宗次,,
19,2,95,Katana,Masafusa,薩州住藤原正房,,
19,2,96,Katana,Mondo no Shō Masakiyo,薩州住景吉作,,
19,2,97,Katana,Mondo no Shō Masakiyo,正清,,
19,2,98,Katana,Ippei Yasuyo,(一ツ葵紋) 主馬首一平安代,,
19,2,99,Katana,Ippei Yasuari (1766),薩州住一平藤原安在 / 峕明和三丙戍,,
19,2,100,Katana,Masayoshi,薩摩国出水住藤原正良作 / 二月吉日,,
19,2,101,Katana,Ason Masayuki (1803),伯耆守平朝臣正幸 / 享和三年亥八月七十一歳造,,
19,2,102,Katana,Motohira (1783),薩陽士元平 / 天明三年癸卯二月,,
19,2,103,Katana,Motohira (1815),奥大和守朝臣元平 / 文化十二亥春,,
19,2,104,Tachi Koshirae,,金梨子地葵紋蒔絵糸巻太刀拵,,
19,2,105,Tachi Koshirae,,樋橘紋螺鈿金梨子地衛府太刀拵,,
19,2,106,Tachi Koshirae,,金梨子地三ツ柏紋蒔絵衛府太刀拵,,
19,2,107,Tachi Koshirae,,金梨子地青貝螺鈿衛府太刀拵,,
19,2,108,Uchigatana Koshirae,,黒蠟塗打刀拵,,
19,2,109,Kogai (双花紋笄),Gotō Yūjō & Gotō Teijō,祐乗作 程乗 (花押),,
19,2,110,Kogai (二疋山羊図笄),Gotō Yūjō & Gotō Teijō,祐乗作 程乗 (花押),,
19,2,111,Menuki (牽牛織女目貫),den Gotō Sōjō,Mumei [伝宗乗],,
19,2,112,Menuki (狗児目貫),Gotō Sōjō,Mumei [宗乗],,
19,2,113,Kogai (舟図笄),Ko–Gotō,Mumei [古後藤],,
19,2,114,Kogai (鷹道貝笄),Gotō Jōshin,Mumei [乗真],,
19,2,115,Mitokoromono (御所車三所物),Kozuka & Kogai,Gotō Jōshin & Gotō Renjō – 作乗真 廉乗 (花押),,
19,2,116,Mitokoromono (桐鳳凰図三所物),Gotō Jōshin,Mumei [乗真] – 寛文三年卯月光侶折紙),Gotō Origami (1663,
19,2,117,Mitokoromono (鹿図三所物),Gotō Tokujō & Gotō Enjō,紋徳乗 光孝 (花押),,
19,2,118,Daishō Tsuba (春秋花蝶 蜻蛉図大小鐔),Gotō Ichijō,伯応作,,
19,2,119,Tsuba (桃猿文鐔),Ko–Mino,Mumei [古美濃],,
19,2,120,Tsuba (老松透鐔),Ko–Mino,Mumei [古美濃],,
19,2,121,Kogai (葡萄図笄),Ko–Mino,Mumei [古美濃],,
19,2,122,Tsuba (風竹透鐔),Matashichi,Mumei [林又七],,
19,2,123,Tsuba (男女唐草文透鐔),Nanban,Mumei [南蛮],,
19,2,124,Tsuba (双竜 獅噛唐草文透鐔),Nanban,Mumei [南蛮],,
19,2,125,Kozuka (月下富獄図小柄),Hirata Dōnin,Mumei [平田道仁],,
19,2,126,Tsuba (菊花文鐔),Teiei,貞栄作,,
19,2,127,Fuchi & Kashira (百合花図縁頭),Tsu Jinpo,津尋甫,,
19,2,128,Menuki (螢籠目貫),Konkan,(金短册銘) 昆寛,,
19,2,129,Mitokoromono (四君子三所物),Kozuka,Natsuo – 於木場神田川辺作夏雄 Kogai – Natsuo (1855) – 安政二年仲冬日左京人夏雄作之,,
19,2,130,Daishō Tsuba (梅に鶯図大小鐔),Ishiguro Masatsune,石黒常鐫 (花押),,
20,1,1,Tachi,Jōkotō,Mumei [上古刀],,
20,1,2,Tachi,Yoshiie,吉家作,,
20,1,3,Katana,den Gojō,Mumei [伝五条],,
20,1,4,Tachi,Hisakuni,藤次郎久国 [Kinzōgan 豊後守斉宣帯之],,
20,1,5,Tachi,Kuniyoshi,Mei ga aru 国吉,,
20,1,6,Katana,den Awataguchi Kuniyoshi,Mumei [伝粟田口国吉],,
20,1,7,Tachi,Awataguchi,国□ [粟田口],,
20,1,8,Tantō,Yoshimitsu,吉光,,
20,1,9,Tantō,Yoshimitsu,Mumei [吉光],Aikuchi Koshirae – 黒塗葵紋螺鈿合口拵,
20,1,10,Katana,Ayanokōji Sadatoshi,Mumei [綾小路定利],,
20,1,11,Tachi,Rai Kuniyuki,国行,,
20,1,12,Katana,Rai Kuniyuki,[Kinzōgan 来国行 / 光遜 (花押)],,
20,1,13,Katana,Rai Kuniyuki,Gakumei 国行 [Kiritsuke 地蔵院 / スリ上如此銘 / ホリ入テオクナリ],,
20,1,14,Katana,Niji Kunitoshi,Mumei [二字国俊],,
20,1,15,Katana,Niji Kunitoshi,Mumei [二字国俊],,
20,1,16,Katana,Rai Kunitoshi,[Kinzōgan 来国俊],,
20,1,17,Tantō,Rai Kunitoshi,来国俊,,
20,1,18,Tantō,Rai Kunitoshi,来国俊,,
20,1,19,Tantō,Rai Kunitoshi,来国俊,,
20,1,20,Tachi,Rai Kunimitsu,来国光,,
20,1,21,Tachi,Rai Kunimitsu,[Shumei 来国光],,
20,1,22,Katana,Rai Kunimitsu,Mumei [来国光],,
20,1,23,Wakizashi,Rai Kunimitsu,Mumei [来国光],,
20,1,24,Tantō,Rai Kunimitsu,来国光 [Shumei 寛永十年折紙] – 寛永 十年光温折紙代金子六拾枚),Hon’ami Origami (1633,
20,1,25,Tantō,Rai Kunimitsu,来国光,,
20,1,26,Tantō,Rai Kunimitsu,来国光,,
20,1,27,Tantō,Rai Kunimitsu,来国光 – 黒塗瑞雲鳳 凰蒔絵小さ刀拵 (一乗一作)),Chiisagatana Koshirae (Gotō Ichijō Issaku,
20,1,28,Tantō,Rai Kunimitsu (Nidai) (1351),来国光 / 観応二年六月十三日 (二代),,
20,1,29,Tachi,Rai Kunitsugu,来国次,,
20,1,30,Katana,Rai Kunitsugu,[Kinzōgan ga aru 来国次],,
20,1,31,Tachi & Koshirae,den Rai Kuninaga,Mumei [伝来国長] Tachi Koshirae – 黒皺革包皮巻太刀拵,,
20,1,32,Katana,den Nakajima Rai,Mumei [伝中島来],,
20,1,33,Katana,Ryōkai,[Kinzōgan 了戒 / 本阿 (花押)],,
20,1,34,Naoshi,Ryōkai,Mumei [了戒],,
20,1,35,Tantō,Ryōkai,Mumei [了戒],,
20,1,36,Katana,Ryōkai,Mumei [了戒],,
20,1,37,Wakizashi,Hasebe Kunishige,長谷部国重,,
20,1,38,Katana,den Hasebe Kuninobu,Mumei [伝長谷部国信],,
20,1,39,Wakizashi,Hasebe Kuninobu,長谷部国信,,
20,1,40,Tantō,Hasebe,Mumei [長谷部],,
20,1,41,Katana,Nobukuni,Mumei [信国] [Kiritsuke 可忍 / 長郷文庵],,
20,1,42,Tantō,Nobukuni (Ōei),信国 (応永),,
20,1,43,Ken,Yamato Ko–Ken,Mumei [大和古剣],,
20,1,44,Katana,Nobuie (Senju’in),Gakumei 東大寺延家 [千手院],,
20,1,45,Ken & Koshirae,Kunitsugu (Senju’in) (1278–1288),国継 弘安先年 (Fumei) Ken Koshirae – 輪宝梵字文 宝剣拵,,
20,1,46,Katana,den Senju’in,Mumei [伝千手院],,
20,1,47,Tantō,Kunimitsu (Senju’in),国光 [千手院],,
20,1,48,Katana,den Taima,Mumei [伝当麻],,
20,1,49,Katana,den Taima,Mumei [伝当麻],,
20,1,50,Katana,den Taima,Mumei [伝当麻],,
20,1,51,Katana,den Taima,Mumei [伝当麻],,
20,1,52,Katana,Ryūmon Nobuyoshi,Mumei [竜門延吉],,
20,1,53,Katana,den Ryūmon Nobuyoshi,Mumei [伝竜門延吉],,
20,1,54,Katana,Ryūmon Nobuyoshi,Mumei [竜門延吉],,
20,1,55,Tachi,Kanenaga,包永,,
20,1,56,Katana,Kanenaga,[Kinzōgan 包永],,
20,1,57,Katana,den Kanenaga,Mumei [伝包永],,
20,1,58,Katana,Tegai,Mumei [手掻],,
20,1,59,Katana,Tegai,Mumei [手掻],,
20,1,60,Katana,Tegai,Mumei [手掻],,
20,1,61,Katana,Tegai,Mumei [手掻],Uchigatana Koshirae – 黒蠟塗桐蝶紋打刀拵,
20,1,62,Tachi,Kanezane,包真,,
20,1,63,Katana,Kanekiyo,[Kinzōgan 包清 / 本阿 (花押)],,
20,1,64,Tantō,Kanekiyo,包清,,
20,1,65,Katana,Shikkake Norinaga,Mumei [則長],,
20,1,66,Katana,Hoshō,Mumei [保昌],,
20,1,67,Katana,Hoshō,Mumei [保昌],,
20,1,68,Katana,Yamato Shizu,Mumei [大和志津],,
20,1,69,Katana,Yamato Shizu,Mumei [大和志津],,
20,1,70,Katana,Yamato Shizu,Mumei [大和志津],,
20,1,71,Tachi,Shintōgo Kunimitsu,国光,,
20,1,72,Tachi,Shintōgo Kunimitsu,国光,,
20,1,73,Tantō,Shintōgo Kunimitsu,国光,Aikuchi Koshirae – 黒蠟塗合口拵,
20,1,74,Tantō,Shintōgo Kunihiro,Mumei [新藤五国広],,
20,1,75,Tantō,Shintōgo Kunihiro,Mumei [新藤五国広],,
20,1,76,Tantō,den Shintōgo Kunihiro,Mumei [伝新藤五国広],,
20,1,77,Katana,den Yukimitsu,Mumei [伝行光],,
20,1,78,Katana,den Yukimitsu,Mumei [伝行光],,
20,1,79,Katana,den Yukimitsu,Mumei [伝行光],,
20,1,80,Katana,den Yukimitsu,Mumei [伝行光],,
20,1,81,Wakizashi,den Yukimitsu,Mumei [伝行光],,
20,1,82,Tantō,Yukimitsu,Mumei [行光] – 元禄九年本阿弥光常折紙),Hon’ami Origami (1696,
20,1,83,Tantō,Yukimitsu,[Shumei 行光],,
20,1,84,Tantō,den Yukimitsu,Mumei [伝行光] – 宝暦二年本阿弥光 勇折紙),Hon’ami Origami (1752,
20,1,85,Tantō,Yukimitsu,Mumei [行光] – 元禄七年本阿弥光常折紙),Hon’ami Origami (1694,
20,1,86,Wakizashi,den Masamune,Mumei [伝正宗],,
20,1,87,Wakizashi,Sadamune,[Shumei 拝領 貞宗 / 元禄五年代弐百枚折紙],,
20,1,88,Wakizashi,den Sadamune,Mumei [伝貞宗],,
20,1,89,Wakizashi,Hiromitsu,広光,Wakizashi Koshirae – 黒蠟塗脇指拵,
20,1,90,Wakizashi,Masahiro (1391),相州住正広 / 明徳二,,
20,1,91,Katana,Hirotsugu,広次,,
20,1,92,Katana,Shimada Yoshisuke,義助作,,
20,1,93,Tantō,Shimada Yoshisuke,義助,,
20,1,94,Katana,Shimada Hirosuke,広助,,
20,1,95,Tantō,Muramasa,村正,,
20,1,96,Tantō,Muramasa,村正,,
20,1,97,Tantō,Muramasa,村正,Aikuchi Koshirae – 黒塗菊花紋散合口拵,
20,1,98,Katana,Takagi Sadamune,Mumei [高木貞宗],,
20,1,99,Katana,Takagi Sadamune,Mumei [高木貞宗],,
20,1,100,Wakizashi,den Takagi Sadamune,Mumei [伝高木貞宗],,
20,1,101,Katana,Shizu,Mumei [志津],,
20,1,102,Katana,Shizu,Mumei [志津],Hon’ami Origami – 本阿弥光常折紙,
20,1,103,Katana,Shizu,Mumei [志津],,
20,1,104,Wakizashi,Shizu,Mumei [志津],Hon’ami Origami – 光忠折紙,
20,1,105,Tantō,Shizu,Mumei [志津],,
20,1,106,Katana,Naoe Shizu,[Kinpun 直江志津 / 琳雅 (花押)],,
20,1,107,Katana,Naoe Shizu,Mumei [直江志津],,
20,1,108,Katana,Naoe Shizu,Mumei [直江志津],,
20,1,109,Katana,Naoe Shizu,Mumei [直江志津],,
20,1,110,Katana,Naoe Shizu,Mumei [直江志津],,
20,1,111,Wakizashi & Koshirae,den Naoe Shizu,Mumei [伝直江志津] Wakizashi Koshirae 黒皺塗脇指拵,,
20,1,112,Tantō,Kinjū,金重,,
20,1,113,Naoshi,den Kinjū,Mumei [伝金重],,
20,1,114,Katana,den Tametsugu,Mumei [伝為継],,
20,1,115,Katana,Tametsugu,Mumei [為継],,
20,1,116,Katana,Kanefusa,兼房,,
20,1,117,Katana,den Kashū Sanekage,Mumei [伝真景],,
20,1,118,Tantō,Kashū Sanekage,賀州住真景,,
20,1,119,Tantō,Kashū Sanekage (Nidai),藤原真景 (二代) – 麟鳳亀竜文小さ刀拵 (天光堂光国一作)),Chiisagatana Koshirae (Kawabarayashi Mitsukuni Issaku,
20,1,120,Naoshi,den Norishige,Mumei [伝則重],,
20,1,121,Tantō,Norishige,[Shumei 則重 / 本阿 (花押)],,
20,1,122,Katana,den Gō (Meitō Ashiba Gō 号芦葉江),Mumei [伝江],,
20,1,123,Wakizashi,den Gō,Mumei [伝江],,
20,1,124,Katana,Ko–Uda,Mumei [古宇多],,
20,1,125,Katana,Ko–Uda,Mumei [古宇多],,
20,1,126,Tantō,Uda Kunifusa,宇多国房,,
20,1,127,Tachi,Uda Kunimune,宇多国宗,,
